Facility ID,Name,Address,Regulation Date,Expiration Date,Conditional,Inspection 1 Date,Inspection 1 Type,Inspection 1 Findings,Inspection 1 Checklists,Inspection 2 Date,Inspection 2 Type,Inspection 2 Findings,Inspection 2 Checklists,Inspection 3 Date,Inspection 3 Type,Inspection 3 Findings,Inspection 3 Checklists,Inspection 4 Date,Inspection 4 Type,Inspection 4 Findings,Inspection 4 Checklists,Inspection 5 Date,Inspection 5 Type,Inspection 5 Findings,Inspection 5 Checklists,Inspection 6 Date,Inspection 6 Type,Inspection 6 Findings,Inspection 6 Checklists,Inspection 7 Date,Inspection 7 Type,Inspection 7 Findings,Inspection 7 Checklists,Inspection 8 Date,Inspection 8 Type,Inspection 8 Findings,Inspection 8 Checklists,Inspection 9 Date,Inspection 9 Type,Inspection 9 Findings,Inspection 9 Checklists,Inspection 10 Date,Inspection 10 Type,Inspection 10 Findings,Inspection 10 Checklists,Inspection 11 Date,Inspection 11 Type,Inspection 11 Findings,Inspection 11 Checklists,Inspection 12 Date,Inspection 12 Type,Inspection 12 Findings,Inspection 12 Checklists,Inspection 13 Date,Inspection 13 Type,Inspection 13 Findings,Inspection 13 Checklists,Inspection 14 Date,Inspection 14 Type,Inspection 14 Findings,Inspection 14 Checklists,Inspection 15 Date,Inspection 15 Type,Inspection 15 Findings,Inspection 15 Checklists,Inspection 16 Date,Inspection 16 Type,Inspection 16 Findings,Inspection 16 Checklists,Inspection 17 Date,Inspection 17 Type,Inspection 17 Findings,Inspection 17 Checklists,Inspection 18 Date,Inspection 18 Type,Inspection 18 Findings,Inspection 18 Checklists,Inspection 19 Date,Inspection 19 Type,Inspection 19 Findings,Inspection 19 Checklists,Inspection 20 Date,Inspection 20 Type,Inspection 20 Findings,Inspection 20 Checklists
93201,Alliance Youth Services dba The Pointe,"4735 N Thanksgiving Way, Lehi, UT, 84043",2021-12-01,2026-11-30,False,2026-06-01,Investigation Inspection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93266,Avalon Hills Healthcare Inc dba Avalon Hills Residential Eating Disorders Program,"8530 S 500 W, Paradise, UT, 84328",2022-03-01,2026-11-30,False,2026-06-16,3rd Unannounced,None,1068463; Census=2; Capacity=12; Contact=Emily Butler; Licensor=Josilyn Bertrand; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94202,Care Youth Corporation dba Rite Of Passage Inc/Lava Heights Academy,"730 Spring Dr, Toquerville, UT, 84774",2022-01-31,2027-01-31,False,2026-05-05,Investigation Inspection,None,,2026-05-05,Investigation Inspection,None,,2026-04-29,Investigation Inspection,"R380-80-5(10): Services and supervision to meet each clients needs | Finding: The provider was out of compliance with R380-80-5(10) for failing to provide services and supervision that is commensurate with the needs of the client. During the inspection, evidence substantiated that an unsupervised client was able to elope from the facility unnoticed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99192,Chateau Health  Wellness,"400 W 4200 N, Oakley, UT, 84055",2022-07-01,2027-07-31,False,2026-06-16,"Announced, Annual Inspection",None,1068563; Census=48; Contact=Austin Pederson and Danny Warner; Licensor=Heather Holbrook; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93341,Cinnamon Hills Youth Crisis Center,"770 E St George Blvd, Saint George, UT, 84770",2022-07-01,2027-06-30,False,2024-02-05,Non On-Site Inspection,None,,2024-01-12,3rd Unannounced,None,574168; Method=all_failed,2024-01-03,Follow-Up Inspection,None,,2023-12-26,Focus Inspection,"R495-876-5(1)(a)-(m): Code of conduct | Finding: The provider was out of compliance with this rule by a staff member mistreating a client. During an investigation inspection, staff and client interviews and provider documentation substantiated  that a staff yelled at a client, grabbed the client by their shirt, shook the client, and hit the client in the forehead with an open palm.",,2023-12-19,Investigation Inspection,None,,2023-11-15,"2nd Unannounced, Investigation Inspection",None,,2023-08-30,Investigation Inspection,None,,2023-08-03,Investigation Inspection,None,,2023-08-03,Investigation Inspection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93343,Copper Hills Youth Center,"5899 W Rivendell Dr, West Jordan, UT, 84081",2022-08-01,2027-07-31,False,2026-06-11,"Announced, Annual Inspection",None,1073586; Census=1; Contact=Ron Tuinei; Licensor=Rob Jones; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94407,Crossroads Academy dba CRA Residential Treatment,"5545 S 1225 E, South Ogden, UT, 84403",2022-12-16,2026-08-31,False,2026-06-23,"Announced, Annual Inspection",None,1082803; Census=6; Capacity=12; Contact=Becky Barrera; Licensor=Josilyn Bertrand; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93403,Crossroads Academy dba East House,"1217 E 3100 N, Ogden, UT, 84414",2022-09-01,2026-08-31,False,2026-06-23,"Announced, Annual Inspection",None,1082724; Census=12; Capacity=16; Contact=Becky Barrera; Licensor=Josilyn Bertrand; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93420,Crossroads Academy dba North House,"2849 N 400 E, Ogden, UT, 84414",2022-09-01,2026-08-31,False,2026-06-23,"Announced, Annual Inspection",None,1082646; Census=5; Capacity=14; Contact=Becky Barrera; Licensor=Josilyn Bertrand; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93421,Crossroads Academy dba South House,"914 32nd St, Ogden, UT, 84403",2022-09-01,2026-08-31,False,2026-06-23,"Announced, Annual Inspection","R501-14-5(5)(a)-(b): Denied applicants may not direct access to clients | Finding: The provider was out of compliance with R501-14-5(5)(a) by allowing an employee with revoked status to continue to work supervised. During the inspection, the licensor was informed that an employee was still working supervised despite receiving a recall notice the week prior. ",1082883; Census=8; Capacity=16; Contact=Becky Barrera; Licensor=Josilyn Bertrand; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
