Facility ID,Name,Address,Regulation Date,Expiration Date,Conditional,Inspection 1 Date,Inspection 1 Type,Inspection 1 Findings,Inspection 1 Checklists,Inspection 2 Date,Inspection 2 Type,Inspection 2 Findings,Inspection 2 Checklists,Inspection 3 Date,Inspection 3 Type,Inspection 3 Findings,Inspection 3 Checklists,Inspection 4 Date,Inspection 4 Type,Inspection 4 Findings,Inspection 4 Checklists,Inspection 5 Date,Inspection 5 Type,Inspection 5 Findings,Inspection 5 Checklists,Inspection 6 Date,Inspection 6 Type,Inspection 6 Findings,Inspection 6 Checklists,Inspection 7 Date,Inspection 7 Type,Inspection 7 Findings,Inspection 7 Checklists,Inspection 8 Date,Inspection 8 Type,Inspection 8 Findings,Inspection 8 Checklists,Inspection 9 Date,Inspection 9 Type,Inspection 9 Findings,Inspection 9 Checklists,Inspection 10 Date,Inspection 10 Type,Inspection 10 Findings,Inspection 10 Checklists,Inspection 11 Date,Inspection 11 Type,Inspection 11 Findings,Inspection 11 Checklists,Inspection 12 Date,Inspection 12 Type,Inspection 12 Findings,Inspection 12 Checklists,Inspection 13 Date,Inspection 13 Type,Inspection 13 Findings,Inspection 13 Checklists,Inspection 14 Date,Inspection 14 Type,Inspection 14 Findings,Inspection 14 Checklists,Inspection 15 Date,Inspection 15 Type,Inspection 15 Findings,Inspection 15 Checklists,Inspection 16 Date,Inspection 16 Type,Inspection 16 Findings,Inspection 16 Checklists,Inspection 17 Date,Inspection 17 Type,Inspection 17 Findings,Inspection 17 Checklists,Inspection 18 Date,Inspection 18 Type,Inspection 18 Findings,Inspection 18 Checklists,Inspection 19 Date,Inspection 19 Type,Inspection 19 Findings,Inspection 19 Checklists,Inspection 20 Date,Inspection 20 Type,Inspection 20 Findings,Inspection 20 Checklists
93201,Alliance Youth Services dba The Pointe,"4735 N Thanksgiving Way, Lehi, UT, 84043",2021-12-01,2026-11-30,False,2024-02-09,Focus Inspection,"R380-80-5(4): Provider shall protect clients from abuse, prevent abuse | Finding: The provider was out of compliance with this rule by a staff member exposing the clients to potential harm or acts of violence during the road rage incident. The staff members  actions allowed the other driver and clients to engage in a physical altercation resulting in acts of violence and potential harm. During the investigation inspection, client interviews substantiated that the staff member did not take any action to protect the clients. || R380-80-4(2): Report abuse or neglect | Finding: The provider was out of compliance with this rule by failing to report alleged neglect and criminal activity to law enforcement or Child Protective Services. During the inspection, through documentation review, it was observed that neither staff involved in the incident notified Child Protective Services or law enforcement.",,2024-01-12,Investigation Inspection,None,,2023-10-17,"Announced, Annual Inspection",None,560822; Method=all_failed,2023-09-27,Non On-Site Inspection,None,,2023-09-20,Investigation Inspection,None,,2023-09-05,3rd Unannounced,None,553044; Contact=Licensor(s) Conducting this Inspection: OL Staff Observing Inspection:; Licensor=:; Method=text,2023-06-15,3rd Unannounced,None,541303; Contact=Licensor(s) Conducting this Inspection: OL Staff Observing Inspection:; Licensor=:; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93220,Alliance Youth Services dba Timpview,"200 N Anderson Ln, Lindon, UT, 84042",2021-12-01,2026-11-30,False,2023-06-20,3rd Unannounced,None,541342; Contact=Licensor(s) Conducting this Inspection: OL Staff Observing Inspection:; Licensor=:; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93245,"Blue Hills Residential Treatment, LLC","21360 N 1450 E, Moroni, UT, 84646",2021-12-01,2026-10-31,False,2024-02-22,2nd Unannounced,None,581504; Method=all_failed,2024-02-21,Investigation Inspection,None,,2023-12-13,"Unannounced, Annual Inspection",None,570086; Method=all_failed,2023-08-03,Investigation Inspection,None,548161; Contact=Licensor(s) Conducting this Inspection: OL Staff Observing Inspection:; Licensor=:; Method=text,2023-08-03,"Announced, Annual Inspection",None,548161; Contact=Licensor(s) Conducting this Inspection: OL Staff Observing Inspection:; Licensor=:; Method=text,2023-06-12,2nd Unannounced,None,539182; Contact=Licensor(s) Conducting this Inspection: OL Staff Observing Inspection:; Licensor=:; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99864,CERTS dba La Europa Academy (RT),"1135 E Vine St, Murray, UT, 84121",2022-03-01,2027-02-28,False,2024-01-11,"Announced, Annual Inspection",None,575047; Census=30; Capacity=36; Contact=of this; Licensor=Kacee Arrington; Method=text,2023-12-28,2nd Unannounced,None,571938; Licensor=:; Method=text,2023-12-19,Investigation Inspection,None,,2023-09-21,Non On-Site Inspection,None,,2023-09-05,Investigation Inspection,None,,2023-08-22,Investigation Inspection,None,551323; Method=all_failed,2023-08-22,"Unannounced, Annual Inspection",None,551323; Method=all_failed,2023-07-05,Investigation Inspection,None,,2023-06-06,Investigation Inspection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94203,Care Youth Corporation - Falcon Ridge Ranch dba Rite Of Passage Inc/Falcon Ridge Ranch,"750 East Sr 9, Virgin, UT, 84779",2022-01-31,2027-01-31,False,2024-12-03,"Complaint, Investigation Inspection","R501-19-3(3)(a)-(j): Supervision and ratio requirements | Finding: The provider was out of compliance by not maintaining a staff-to-client ratio of one staff to every four clients. During an investigation, provider documentation verified that on Sunday, November 10, 2024 the provider was not compliant with the required staff to student ratio for multiple hours that day. || R380-80-5(10): Services and supervision to meet each clients needs | Finding: The provider was out of compliance with this rule by not providing supervision commensurate with the behaviors of each client. During an inspection, multiple interviews disclosed and facility video coverage recorded a client with a history of impulsive behaviors was not adequately supervised while in possession of hazardous chemicals. This is a repeat citation. || R380-600-7(16)(a)-(d): Critical incidents reporting requirements | Finding: The provider was out of compliance with this rule by not reporting a critical incident to the Office of Licensing within one business day. During a complaint investigation inspection, the complaint being reviewed was identified as a critical incident that was not reported to the Office of Licensing by the provider. This is a repeat citation. || R380-80-5(4): Provider shall protect clients from abuse, prevent abuse | Finding: The provider was out of compliance with this rule by compromising the health and safety of clients and failing to protect clients from harm. During the investigation inspection, a staff member provided a client with chemicals to clean a water bottle and two additional staff failed to supervise clients using cleaning chemicals. A client intentionally added chemicals to another client’s water bottle with the intent to harm them. A third client drank from the water bottle and reported their stomach hurt. This is a repeat citation. || R380-80-4(2): Report abuse or neglect | Finding: The provider was out of compliance with this rule by not immediately reporting allegations of child abuse to Child Protective Services intake or law enforcement. During a complaint investigation inspection, the information gathered supported that an alleged child abuse incident occurred on 11/10/2024 and the provider reported the allegations to Child Protective Services on 11/15/2024. || R501-14-5(2)(a)-(f): Submitting application for an initial background screening | Finding: The provider was out of compliance with this rule by allowing a staff member without a conditional or eligible background clearance to work without being directly supervised. During an investigation, facility video coverage recorded a staff member who required direct supervision and was not being directly supervised.",,2024-11-12,"Announced, Annual Inspection",R501-1-16(1)(a)-(u): Pre-service training requirements | Finding: The provider was out of compliance with this rule by not having current Provider Code of Conduct or documentation of training for staff response to client leaving program without permission in staff files within 30 days of hire. During staff file review the licensor observed that the Provider Code of Conduct was not the current form and there was no documentation of training for staff response to client leaving the program without permission.,623295; Census=24; Capacity=48; Contact=Jarrett Shoemaker 11/12/2024; Licensor=MeRee Jacobsen; Method=text,2024-11-07,"Complaint, Investigation Inspection",R501-19-3(3)(a)-(j): Supervision and ratio requirements | Finding: The provider was out of compliance with this rule by not maintaining the required staff-to-client one to four client ratio. During the inspection the information gathered from interviews and provider documentation substantiated that staff did not provide clients with required staff to client ratio mandated for client safety during an outing on 10/26/2024. This is a repeat citation.,,2024-09-18,2nd Unannounced,R501-1-13(5)(a)-(b): Private placement reporting | Finding: The provider was out of compliance with this rule by not reporting private placements to the Office by the fifth business day of the month for August and September 2024. During the inspection the licensor verified through QuickSight reporting that the provider had not reported private placements to the office by the fifth business day of the month for August and September 2024. This is a repeat non compliance.,615755; Census=21; Capacity=48; Contact=Jarrett shoemaker; Licensor=MeRee Jacobsen; Method=text,2024-07-31,Investigation Inspection,None,,2024-07-30,Investigation Inspection,None,,2024-07-23,Follow-Up Inspection,None,,2024-06-28,Focus Inspection,R501-19-3(3)(a)-(j): Supervision and ratio requirements | Finding: The provider was out of compliance with this rule by not maintaining required staff ratios. During the inspection the provider was observed to be out of staff to client ratio on 1 group staffed at 1 staff  to 8 clients. This is a repeat noncompliance.,,2024-06-06,Non On-Site Inspection,None,,2024-05-30,"Unannounced, Annual Inspection",None,598857; Census=19; Capacity=48; Contact=Jarrett Shoemaker; Licensor=MeRee Jacobsen; Method=text,2024-04-11,Investigation Inspection,None,,2024-03-22,"Focus, Non On-Site","R380-600-7(16)(a)-(d): Critical incidents reporting requirements | Finding: The provider was out of compliance with this rule by failing to report a critical incident by the next business day.  During review of critical incidents it was identified that the incident occurred on 3-22-24, was not reported until 3-26-24. This is a repeat noncompliance.",,2024-02-24,"Complaint, Investigation Inspection",R501-19-3(3)(a)-(j): Supervision and ratio requirements | Finding: The provider was out of compliance with this rule by failing to maintain a staff-to-client ratio of one staff to every four clients. The information gathered throughout the investigation substantiated that the provider was out of staff to student ratio throughout multiple shifts between 02/09/2024 and 02/22/2024.,,2024-02-24,Follow-Up Inspection,None,,2024-02-06,Non On-Site Inspection,None,,2024-01-18,"Announced, Annual Inspection",None,575301; Method=all_failed,2024-01-10,"Complaint, Focus Inspection",R501-19-3(4): Maintain 1 staff to every 4 client ratio | Finding: The provider was out of compliance with this rule by not having enough staff to meet the required 1:4 ratio. During the inspection it was observed that the provider was out of ratio on 12/17/2023 and 12/18/2023. This is a repeat noncompliance.,,2023-11-02,Follow-Up Inspection,None,,2023-10-15,Follow-Up Inspection,None,,2023-10-03,"Complaint, Focus Inspection","R501-19-3(4): Maintain 1 staff to every 4 client ratio | Finding: The provider was out of compliance with this rule by failing to maintain a 1 to 4 staff to student ratio and supervision. During an on-site inspection, facility video coverage and provider documentation was reviewed and multiple interviews were conducted. The evidence substantiated that the provider was out of compliance with staff to student ratio and supervision on the four shifts reviewed.",
94202,Care Youth Corporation dba Rite Of Passage Inc/Lava Heights Academy,"730 Spring Dr, Toquerville, UT, 84774",2022-01-31,2027-01-31,False,2023-12-21,Follow-Up Inspection,None,,2023-12-08,Follow-Up Inspection,None,,2023-11-16,Investigation Inspection,None,,2023-09-26,2nd Unannounced,None,556414; Census=27; Contact=McCabe Peterson; Licensor=:; Method=text,2023-06-20,Investigation Inspection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93248,Catalyst Residential Treatment Center dba Gray House,"1004 S 1025 W, Brigham City, UT, 84302",2022-04-01,2027-03-31,False,2026-05-06,"Unannounced, Annual Inspection","R501-1-8(1)(a)-(i): Facility and safety requirements | Finding: The provider was out of compliance with R501-1-8(1)(i) by not having prescription medication stored in its original pharmacy packaging. During the inspection, loose pills were found in clients’ medication folders and pill bottles’ labels had been removed. Technical assistance was previously provided for this rule on 10/21/2025. This rule noncompliance is a repeat noncompliance as noted on 12/28/2023, 02/29/2024, 03/25/2024, 05/30/2024, 06/25/2024, and 08/12/2024.",1006012; Census=0; Contact=Seth Geisler; Licensor=Josilyn Bertrand; Method=text,2024-04-01,Investigation Inspection,None,,2024-04-01,Focus Inspection,R380-80-6(1)(a)-(i): Client rights | Finding: The provider was out of compliance with this rule by a staff member not treating a client with dignity and being disrespectful during an incident on 02/28/2024 by insulting the client numerous times.  This non-compliance was confirmed during an inspection on 04/01/2024. This is a repeat noncompliance.,,2024-03-25,Non On-Site Inspection,"R501-1-8(1)(a)-(i): Facility and safety requirements | Finding: The provider was out of compliance with the rule by not having medication in original pharmacy packaging, and by not having the facility maintained and free of health and fire hazards. During the inspection on 2/29/2024, the licensor observed that prescription medication was not consistently being stored with its original packaging.

This rule non-compliance is a repeat non-compliance. This rule non-compliance is a repeated non-compliance from 2/29/2024, as this non-compliance item was not resolved. || R501-1-16(2)(a)-(q): Program policy and training | Finding: The provider was out of compliance with this rule by not having all annual trainings completed and documented for employees. During the inspection on 2/29/2024, the licensor observed that the provider did not have documentation of multiple annual trainings, and had not done some annual trainings.

This rule non-compliance is a repeat non-compliance. This rule non-compliance is a repeated non-compliance from 2/29/2024, as this non-compliance item was not resolved. || R501-1-13(5)(a)-(b): Private placement reporting | Finding: The provider was out of compliance with the rule by not consistently reporting private placements to the Office of Licensing. At the time of the inspection on 2/29/2024, multiple months of private placement reporting were absent.

This rule non-compliance is a repeat non-compliance. This rule non-compliance is a repeated non-compliance from 2/29/2024, as this non-compliance item was not resolved. || R380-600-7(16)(a)-(d): Critical incidents reporting requirements | Finding: The provider was out of compliance with the rule by not reporting critical incidents to the office of licensing. During the inspection on 2/29/2024, the licensor discussed various incidents with the provider that were critical incidents that had not been reported.

This rule non-compliance is a repeat non-compliance. This rule non-compliance is a repeated non-compliance from 2/29/2024, as this non-compliance item was not resolved.",,2024-02-29,"Announced, Annual Inspection","R501-1-8(1)(a)-(i): Facility and safety requirements | Finding: The provider was out of compliance with the rule by not having medication in original pharmacy packaging, and by not having the facility maintained and free of health and fire hazards. During the inspection, the licensor observed that prescription medication was not consistently being stored with its original packaging.

This rule non-compliance is a repeat non-compliance. || R380-600-7(16)(a)-(d): Critical incidents reporting requirements | Finding: The provider was out of compliance with the rule by not reporting critical incidents to the office of licensing. During the inspection, the licensor discussed various incidents with the provider that were critical incidents that had not been reported.

This rule non-compliance is a repeat non-compliance.","583135; Census=17; Capacity=26; Contact=Seth Geisler; Licensor=Josilyn Bertrand, Mary Bokinskie; Method=text",2024-02-07,Non On-Site Inspection,None,,2023-12-28,3rd Unannounced,None,571891; Method=all_failed,2023-10-20,Non On-Site Inspection,None,,2023-09-28,Non On-Site Inspection,None,,2023-08-30,"Complaint, Additional Follow-Up Inspection","R501-1-11(2)(a)-(f): Licensed Program Complaints and Critical Incidents | Finding: The provider was out of compliance with this rule by failing to report 2 separate critical incidents to Licensing.  On 08/30/2023, the investigator and licensor discovered during client and staff interviews that a critical incident occurred on 08/26/2023 and 08/28/2023.",,2023-08-10,"Complaint, Follow-Up Inspection",R501-1-11(2)(a)-(f): Licensed Program Complaints and Critical Incidents | Finding: The provider was out of compliance with this rule by failing to report 3 separate critical incidents to Licensing.,,2023-07-18,Off-site Investigation Inspection,R501-1-11(2)(a)-(f): Licensed Program Complaints and Critical Incidents | Finding: The provider was out of compliance with this rule by not submitting a critical incident report within one business day.  The incident was discovered by the provider on 07/12/2023 and was reported to Licensing on 07/14/2023.,,2023-07-13,2nd Unannounced,R501-19-3(9): Staff assigned for direct supervision shall not be counted at the same time in the ratio | Finding: The provider was out of compliance with this rule by not having not staff directly supervising a client on precautions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93247,Catalyst Residential Treatment Center dba Red House,"970 S 1025 W, Brigham City, UT, 84302",2022-04-01,2027-03-31,False,2026-05-06,"Unannounced, Annual Inspection",None,1006132; Contact=Seth Geisler; Licensor=Josilyn Bertrand; Method=text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93341,Cinnamon Hills Youth Crisis Center,"770 E St George Blvd, Saint George, UT, 84770",2022-07-01,2026-06-30,False,2026-05-07,"Announced, Annual Inspection","R501-1-8(3): Medication and hazardous items maintenance and storage | Finding: The Licensee was out of compliance with rule R501-1-8(3) by not maintaining hazardous items with consideration of the safety and risk level of the population served. During the inspection, chemicals were not in locked cabinets when not in use.	This is a repeat noncompliance as noted on 1/12/24, 7/8/25, 10/2/25. Technical assistance was provided on 9/2/25			",1009411; Census=36; Capacity=164; Contact=Mary Taylor; Licensor=Larry Black; Method=text,2026-05-07,"Announced, Annual Inspection",None,1009411; Census=36; Capacity=164; Contact=Mary Taylor; Licensor=Larry Black; Method=text,2025-05-13,"Announced, Annual Inspection",R380-600-7(16)(a)-(d): Critical incidents reporting requirements | Finding: The Licensee was out of compliance with R380-600-7(16)(b) by not notifying the legal guardian of each involved client within a 24-hour period from the time of the incident. During the client file inspection clients parents and or guardians had not been notified of incidents within 24 hours. This is a repeat noncompliance as noted on 1/30/25.,650658; Census=43; Capacity=164; Contact=Lisa Sellers; Licensor=Larry Black; Method=text,2025-05-06,Investigation Inspection,"R380-80-6(1)(a)-(i): Client rights | Finding: The licensee was out of compliance with R380-80-6(1)(b) by a staff member not ensuring that a client was treated with dignity and respect. During an investigation, the information gathered substantiated that a staff member yelled at and used profanity directed at a client. This is a repeat noncompliance previously noted on 05/11/2023, 11/16/2023, and 02/07/2025.",,2025-04-21,"Complaint, Investigation Inspection","R380-80-5(4): Provider shall protect clients from abuse, prevent abuse | Finding: The licensee was out of compliance with R380-80-5(4) by a staff member acting in a way that harmed and compromised the health and safety of multiple clients. During an investigation, the information gathered substantiated that a staff member provided and used electronic vaping devices with multiple clients, allowed a client to view sexually inappropriate photos of a minor, video recorded multiple clients engaged in physical altercations and did not intervene, and allowed clients to record themselves engaging in simulated lewd acts and other licensee prohibited actions on that staff’s cell phone. This is a repeat noncompliance previously noted on 12/26/2023 and 02/07/2024.",,2025-04-10,Investigation Inspection,"R380-80-6(1)(a)-(i): Client rights | Finding: The licensee was out of compliance with R380-80-6(1)(b) by a staff member not ensuring a client’s right to dignity and respect. During an investigation, the information gathered substantiated that a staff member yelled at and told a client to shut up. This is a repeat noncompliance previously noted on 05/09/2023, 11/16/2023, and 02/07/2025.",,2025-03-19,Investigation Inspection,None,,2025-03-19,Investigation Inspection,None,,2025-03-19,Investigation Inspection,"R380-80-6(1)(a)-(i): Client rights | Finding: The licensee was out of compliance with R380-80-6(1)(c) by not ensuring a client’s right to be free from harm or acts of violence. During the investigation, the information gathered substantiated that a client was physically harmed and injured by two clients. This is a repeat noncompliance previously noted on 03/19/2024, 01/30/2025, 01/30/2025, 02/07/2025, and 02/26/2025. || R380-80-5(10): Services and supervision to meet each clients needs | Finding: The licensee was out of compliance with R380-80-5(10) by not ensuring services and supervision that is commensurate with the behaviors and needs or each client. During the investigation, the information gathered substantiated that a staff did not provide services and supervision proportionate with clients behaviors and needs. During this time, a client was physically harmed and injured by two other clients. This is a repeat noncompliance previously noted on 04/05/2023 and 02/07/2025.",,2025-03-06,Investigation Inspection,None,,2025-02-26,"Complaint, Investigation Inspection","R380-80-6(1)(a)-(i): Client rights | Finding: The licensee was out of compliance with R380-80-6(1)(c) by a staff member not ensuring a client was free from potential harm or acts of violence. During an investigation, the information gathered substantiated that a staff attempted to physically confront a client and threw a flip flop at a client’s head. This is a repeat noncompliance previously noted on 03/19/2024, 01/30/2025, 01/30/2025, and 02/07/2025. || R501-1-4(5)(a)-(l): Congregate care behavior management policy | Finding: The licensee was out of compliance with R501-1-4(5)(b) by a staff member not using behavior management techniques that emphasize de-escalation and promote self-control. During an investigation, the information gathered substantiated that a staff member engaged in confrontational behavior with a client rather than using de-escalation techniques. This is a repeat noncompliance previously noted on 02/07/2025.",,2025-02-07,"Complaint, Investigation Inspection, Non On-Site Inspection","R501-1-4(5)(a)-(l): Congregate care behavior management policy | Finding: The licensee was out of compliance with R501-1-4(5)(b) by a staff member not using behavior management techniques that emphasized de-escalation and promoted self-control. During the investigation, the information gathered substantiated that a staff member’s negative conduct exacerbated an incident that other staff members were working to de-escalate. || R380-80-5(10): Services and supervision to meet each clients needs | Finding: The licensee was out of compliance with R380-80-5(10) by a staff member not providing supervision with the skills, behaviors, and needs of each client. During the investigation, the information gathered substantiated that a staff member was focused on a cell phone while two clients engaged in a confrontation that escalated to a physical assault. This is a repeat noncompliance as previously noted on 04/05/2023, 08/16/2023, and 12/26/2023. || R380-80-6(1)(a)-(i): Client rights | Finding: The licensee was out of compliance with R380-80-6(1)(b) by a staff member not ensuring a client had the right to be treated with dignity and respect and to be free from potential harm or acts of violence. During the inspection, the information gathered substantiated a staff member engaged in a verbal and physical confrontation with a client. This is a repeat noncompliance previously noted on 05/09/2023, 11/16/2023, 03/19/2024, 01/30/2025, and 01/30/2025. || R380-600-7(6): No withholding or manipulating sources | Finding: The licensee was out of compliance with R380-600-7(6) by withholding information that affected the office’s information gathering process. During the investigation, a review of an incident report submitted by the licensee was conducted. It was observed that the licensee omitted information pertinent to the context of the incident. This is a repeat noncompliance as previously noted on 01/30/2025.",,2025-01-30,Investigation Inspection,"R501-1-4(5)(a)-(l): Congregate care behavior management policy | Finding: The provider was out of compliance with this rule by staff members using a physical restraint as a convenience to staff. During the investigation inspection, facility video coverage and multiple interviews substantiated that a client who was not an immediate danger to themselves or others was placed in an unnecessary physical restraint. This is a repeat citation. || R380-80-6(1)(a)-(i): Client rights | Finding: The provider was out of compliance with this rule by violating the client’s right to be free from potential harm and acts of violence. During the investigation inspection, the information gathered substantiated that a staff member acted outside the scope of their training, and was physically aggressive with a client while conducting a physical restraint. This is a repeat citation.",,2025-01-30,Investigation Inspection,"R380-80-6(1)(a)-(i): Client rights | Finding: The licensee was out of compliance with R380-80-6(1)(c) by a staff member not ensuring a client’s right to be free from potential harm and acts of violence. During the investigation inspection, the information gathered substantiated that a staff member acted outside the scope of their training, and was physically aggressive with a client while conducting a physical restraint.",,2025-01-14,3rd Unannounced,None,631826; Census=44; Contact=Lisa Sellers; Licensor=Larry Black; Method=text,2025-01-03,Follow-Up Inspection,None,,2025-01-03,Follow-Up Inspection,None,,2024-12-30,Investigation Inspection,"R501-1-4(5)(a)-(l): Congregate care behavior management policy | Finding: The provider was out of compliance with this rule by a staff member initiating a physical restraint that was not used as a temporary means of physical containment to protect the consumer, other persons, or property from immediate harm. During the inspection, facility video coverage and administrative/staff interviews substantiated that a staff member acted outside the scope of their training and initiated an unnecessary restraint on a client who was being uncooperative but was not an immediate danger to themself or others. This is a repeat citation.",,2024-12-13,Investigation Inspection,None,,2024-12-10,"Investigation Inspection, Non On-Site Inspection",None,
93343,Copper Hills Youth Center,"5899 W Rivendell Dr, West Jordan, UT, 84081",2022-08-01,2026-07-31,False,2024-12-20,Investigation Inspection,None,,2024-11-25,Investigation Inspection,None,626369; Census=123; Capacity=184; Contact=Ron Tuenei; Licensor=Rob Jones; Method=text,2024-11-25,2nd Unannounced,None,626369; Census=123; Capacity=184; Contact=Ron Tuenei; Licensor=Rob Jones; Method=text,2024-10-01,Investigation Inspection,None,,2024-09-18,Investigation Inspection,None,,2024-07-25,"Unannounced, Annual Inspection",None,606842; Census=112; Capacity=168; Contact=Suzanne Clements; Licensor=Rob Jones; Method=text,2024-06-05,Follow-Up Inspection,None,,2024-05-29,"Announced, Annual Inspection",None,599005; Census=117; Capacity=197; Contact=Ron Tuinei; Licensor=Rob Jones; Method=text,2024-03-18,Investigation Inspection,None,,2024-02-15,3rd Unannounced,None,590914; Census=197; Contact=Tevita Makalo; Licensor=Rob Jones; Method=text,2024-01-23,Investigation Inspection,None,,2023-12-31,Investigation Inspection,None,,2023-12-20,Follow-Up Inspection,None,,2023-12-19,Follow-Up Inspection,None,,2023-12-14,2nd Unannounced,None,570215; Census=122; Capacity=197; Contact=Tevita Makalo; Licensor=Rob Jones; Method=text,2023-12-06,Investigation Inspection,None,,2023-10-19,Investigation Inspection,None,,2023-09-26,"Unannounced, Annual Inspection",None,556293; Census=111; Contact=Heather Holbrook; Licensor=:; Method=text,2023-09-05,Investigation Inspection,None,,2023-08-09,Investigation Inspection,None,
