Source_Website,Page_URL_of_Hit,Search_Term_Found
http://www.campusdirection.com/,http://www.campusdirection.com/,Gold
http://www.campusdirection.com/,http://www.campusdirection.com/,Bertram
https://emergingyoungadults.com/,https://emergingyoungadults.com/,Emerge Educational Consulting
https://emergingyoungadults.com/,https://emergingyoungadults.com/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/,Hall
https://emergingyoungadults.com/,https://emergingyoungadults.com/,Wilder
https://emergingyoungadults.com/,https://emergingyoungadults.com/andrew-bryan-profile/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/andrew-bryan-profile/,Mason
https://emergingyoungadults.com/,https://emergingyoungadults.com/andrew-bryan-profile/,Hall
https://emergingyoungadults.com/,https://emergingyoungadults.com,Emerge Educational Consulting
https://emergingyoungadults.com/,https://emergingyoungadults.com,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com,Hall
https://emergingyoungadults.com/,https://emergingyoungadults.com,Wilder
https://emergingyoungadults.com/,https://emergingyoungadults.com/neurodiversity/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/neurodiversity/,Wilder
https://emergingyoungadults.com/,https://emergingyoungadults.com/the-emerge-foundation/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/the-emerge-foundation/,Marie
https://emergingyoungadults.com/,https://emergingyoungadults.com/college-life-mentoring/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/#about,Emerge Educational Consulting
https://emergingyoungadults.com/,https://emergingyoungadults.com/#about,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/#about,Hall
https://emergingyoungadults.com/,https://emergingyoungadults.com/#about,Wilder
https://emergingyoungadults.com/,https://emergingyoungadults.com/greenwood-educational-and-career-assessment/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/treks/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/#fl-main-content,Emerge Educational Consulting
https://emergingyoungadults.com/,https://emergingyoungadults.com/#fl-main-content,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/#fl-main-content,Hall
https://emergingyoungadults.com/,https://emergingyoungadults.com/#fl-main-content,Wilder
https://emergingyoungadults.com/,https://emergingyoungadults.com/gap-year/,Emerge Educational Consulting
https://emergingyoungadults.com/,https://emergingyoungadults.com/gap-year/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/kylie-peters-profile/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/kylie-peters-profile/,Hall
https://emergingyoungadults.com/,https://emergingyoungadults.com/kylie-peters-profile/,Wilder
https://emergingyoungadults.com/,https://emergingyoungadults.com/core-gift-discovery/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/educational-consulting/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/educational-consulting/,Hall
https://emergingyoungadults.com/,https://emergingyoungadults.com/educational-consulting/,Wilder
https://emergingyoungadults.com/,https://emergingyoungadults.com/adult-pilgrimages/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/contact-us/,Bryan
https://emergingyoungadults.com/,https://emergingyoungadults.com/career-assessement/,Bryan
http://www.drburdick.com/,http://www.drburdick.com/,Hall
http://www.drburdick.com/,http://www.drburdick.com/,Burdick
http://www.drburdick.com/,http://www.drburdick.com/#secondary,Hall
http://www.drburdick.com/,http://www.drburdick.com/#secondary,Burdick
http://www.drburdick.com/,http://www.drburdick.com/#content,Hall
http://www.drburdick.com/,http://www.drburdick.com/#content,Burdick
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/,Hall
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/,Wilder
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#adult,Hall
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#adult,Wilder
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#therapeutic-schools,Hall
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#therapeutic-schools,Wilder
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/#adult,Hall
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/#adult,Wilder
http://www.oneoakconsult.com/,https://www.oneoakconsult.com/the-process/adult/,Wilder
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#wilderness-therapy,Hall
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#wilderness-therapy,Wilder
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#young-adult,Hall
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/placement/#young-adult,Wilder
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/#young-adult,Hall
http://www.oneoakconsult.com/,http://www.oneoakconsult.com/#young-adult,Wilder
http://www.oneoakconsult.com/,https://www.oneoakconsult.com/team/,Hall
http://www.oneoakconsult.com/,https://www.oneoakconsult.com/team/,Wilder
